DAGSETNING;HEFST;;ENDAR;NAMSGREIN;HEITI;HOPUR;STOFA;NAFN STOFU;BYGGING
12.05.2018;08:30;;18:10;L-726-KAUP;Kaup á fyrirtækjum/samruni - áreiðanleikakannanir, ML;;M327;Kennslustofa;Mars, þriðja hæð
23.03.2018;08:30;;11:55;T-814-DERI;Afleiður og áhættustýring, TVD - MSc verkfræði;;M108;Kennslustofa;Mars, fyrsta hæð
06.04.2018;08:00;;23:55;E-302-THET;Þjálffræði, TVD - BSc íþróttafræði;;M327;Kennslustofa;Mars, þriðja hæð
09.04.2018;08:00;;12:00;T-800-INT1;"Samþætt verkefni I ; hugmynd og hönnun, TVD - MSc verkfræði";;M326;Kennslustofa;Mars, þriðja hæð
09.04.2018;09:00;;12:00;E-305-SPEV;Frjálsar íþróttir og viðburðastjórnun, TVD - BSc íþróttafræði;;M208;Málstofa;Mars, önnur hæð
09.04.2018;09:00;;12:00;T-202-EDL2;Eðlisfræði II, TVD - verkfræði;;M201;Hefðbundin kennslustofa;2. hæð
09.04.2018;09:00;;13:00;T-401-VELH;Vélhlutafræði, TVD - verkfræði;;V206;Kennslustofa;2. hæð Venus
09.04.2018;14:00;;18:00;BT BEÐ1003;Byggingareðlisfræði, TVD - tæknifræði;;V109;Kennslustofa;Venus, fyrsta hæð
09.04.2018;14:00;;17:00;T-602-RISK;Áhættustýring, TVD - verkfræði;;M106;Kennslustofa;Mars, fyrsta hæð
09.04.2018;14:00;;17:00;VT SVF1003;Sveiflufræði, TVD - tæknifræði;;V102;Málstofa;Venus, 1sta hæð
10.04.2018;09:00;;13:00;BT BUR2003;Þolgreining burðarvirkja, TVD - tæknifræði;;M208;Málstofa;Mars, önnur hæð
10.04.2018;09:00;;12:00;E-201-PHYS;Lífeðlisfræði, TVD - BSc íþróttafræði;;V206;Kennslustofa;2. hæð Venus
10.04.2018;09:00;;12:00;T-650-SUST;Sjálfbærni, TVD - verkfræði;;V108;Kennslustofa;Venus, fyrsta hæð (V.1.03=2.1.0)
11.04.2018;09:00;;12:00;RT RAK1003;Raforkukerfi I, TVD - tæknifræði;;V201;Hefðbundin kennslustofa;2. hæð
11.04.2018;09:00;;12:00;RT RAK2003;Raforkukerfi II, TVD - tæknifræði;;V201;Hefðbundin kennslustofa;2. hæð
12.04.2018;08:00;;23:55;T-844-FEMM;Tölvustudd greining með einingaaðferðinni, TVD - MSc verkfræði;;M111;Kennslustofa;Mars, fyrsta hæð
12.04.2018;09:00;;12:00;T-101-INNF;Fjármálaverkfræði - inngangur, TVD - verkfræði;;V102;Málstofa;Venus, 1sta hæð
12.04.2018;09:00;;12:00;T-106-LIFV;Sameinda- og frumulíffræði, TVD - verkfræði;;V109;Kennslustofa;Venus, fyrsta hæð
12.04.2018;09:00;;12:00;T-106-REVE;Rekstur og stjórnun, verkfræðilegar aðferðir, TVD - verkfræði;;V101;Fyrirlestrarsalur með fullkomnum tæknibúnaði;Venus, 1sta hæð
12.04.2018;09:00;;12:00;T-510-MALI;Mælitækni og lífsmörk, TVD - verkfræði;;M110;Kennslustofa;Mars, fyrsta hæð
12.04.2018;14:00;;17:00;T-106-BURD;Stöðu og burðarþolsfræði, TVD - verkfræði;;V108;Kennslustofa;Venus, fyrsta hæð (V.1.03=2.1.0)
13.04.2018;09:00;;12:00;E-204-SFRE;Sund I, Skyndihjálp og björgun, TVD - BSc íþróttafræði;;M105;Málstofa;Mars, fyrsta hæð
